Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT%,TRB,AST,STL,BLK,PF,PTS
Jannero Pargo,PG,35,CHO,9,0,73,15,35,0.429,1,3,8,0,0,8,41
Jabari Parker,SF,19,MIL,25,25,738,129,263,0.49,0.697,138,42,31,5,42,308
Tony Parker,PG,32,SAS,68,68,1953,404,832,0.486,0.783,129,335,44,2,108,976
Chandler Parsons,SF,26,DAL,66,66,2186,383,829,0.462,0.72,323,161,69,19,140,1037
Patrick Patterson,PF,25,TOR,81,4,2156,240,535,0.449,0.788,433,155,60,44,149,648
Chris Paul,PG,29,LAC,82,82,2857,568,1170,0.485,0.9,376,838,156,15,203,1564
Adreian Payne,PF,23,TOT,32,22,739,91,220,0.414,0.652,162,30,19,9,88,213
Elfrid Payton,PG,20,ORL,82,63,2489,301,708,0.425,0.551,349,533,142,20,193,731
Nikola Pekovic,C,29,MIN,31,29,815,139,328,0.424,0.837,234,27,19,12,59,386
Kendrick Perkins,C,30,TOT,68,3,1148,102,227,0.449,0.506,320,51,16,42,162,246
Paul Pierce,SF,37,WAS,73,73,1914,293,656,0.447,0.781,294,144,46,24,160,868
Mason Plumlee,C,24,BRK,82,45,1743,280,489,0.573,0.495,512,74,65,63,207,717
Miles Plumlee,C,26,TOT,73,28,1194,136,254,0.535,0.478,320,34,41,66,111,294
Quincy Pondexter,SF-SG,26,TOT,75,30,1793,188,447,0.421,0.74,195,94,19,24,150,538
Otto Porter,SF,21,WAS,74,13,1432,176,391,0.45,0.734,221,65,44,30,97,445
Dwight Powell,PF,23,TOT,29,0,236,31,67,0.463,0.758,50,9,9,6,40,90
Phil Pressey,PG,23,BOS,50,0,600,64,174,0.368,0.673,80,117,30,6,54,177
A.J. Price,PG,28,TOT,26,0,324,51,137,0.372,0.667,32,46,7,0,15,133
Ronnie Price,PG,31,LAL,43,20,982,77,223,0.345,0.8,69,165,67,4,118,221
Pablo Prigioni,PG,37,TOT,67,3,1197,91,228,0.399,0.854,119,171,79,1,88,274
Tayshaun Prince,SF,34,TOT,58,16,1397,177,402,0.44,0.754,210,93,29,16,55,434
Miroslav Raduljica,C,27,MIN,5,0,23,3,8,0.375,1,5,0,1,0,8,8
Julius Randle,PF,20,LAL,1,0,14,1,3,0.333,0,0,0,0,0,1,2
Shavlik Randolph,PF,31,TOT,21,0,126,9,35,0.257,0.5,38,4,5,3,16,24
Zach Randolph,PF,33,MEM,71,71,2304,454,932,0.487,0.765,747,153,69,14,175,1143
J.J. Redick,SG,30,LAC,78,78,2409,447,938,0.477,0.901,167,137,39,8,134,1277
Glen Rice,SG,24,WAS,5,0,43,3,15,0.2,0.667,4,2,0,0,11,11
Jason Richardson,SG,34,PHI,19,15,416,62,178,0.348,0.773,66,38,13,3,28,172
Luke Ridnour,PG,33,ORL,47,0,683,75,176,0.426,0.857,68,96,20,4,67,188
Austin Rivers,PG-SG,22,TOT,76,5,1563,203,496,0.409,0.675,152,155,48,14,146,530
Andre Roberson,SG,23,OKC,67,65,1286,92,201,0.458,0.479,255,70,53,29,141,228
Brian Roberts,PG,29,CHO,72,10,1330,176,452,0.389,0.892,109,162,33,6,75,480
Nate Robinson,PG,30,TOT,42,1,591,88,255,0.345,0.674,50,97,20,3,76,238
Thomas Robinson,PF,23,TOT,54,4,798,126,260,0.485,0.528,303,33,32,20,104,308
Glenn Robinson III,SG-SF,21,TOT,35,1,261,26,67,0.388,0.667,39,11,6,1,15,73
Rajon Rondo,PG,28,TOT,68,68,2018,275,645,0.426,0.397,373,538,91,7,153,608
Derrick Rose,PG,26,CHI,51,51,1530,338,835,0.405,0.813,161,251,36,16,63,904
Terrence Ross,SF,23,TOR,82,61,2092,309,753,0.41,0.786,226,86,53,25,136,807
Ricky Rubio,PG,24,MIN,22,22,692,78,219,0.356,0.803,125,193,38,1,59,226
Damjan Rudez,SF,28,IND,68,2,1047,119,263,0.452,0.696,47,53,16,5,79,323
Brandon Rush,SG,29,GSW,33,0,271,11,54,0.204,0.455,41,12,5,12,27,30
Robert Sacre,C,25,LAL,67,18,1133,126,306,0.412,0.671,233,55,28,43,121,307
John Salmons,SF,35,NOP,21,0,270,16,48,0.333,0.5,21,13,9,4,25,42
JaKarr Sampson,SF,21,PHI,74,32,1131,146,346,0.422,0.67,163,77,38,26,135,386
Larry Sanders,C,26,MIL,27,26,586,86,172,0.5,0.5,166,23,26,39,104,196
Dennis Schroder,PG,21,ATL,77,10,1516,284,665,0.427,0.827,164,317,49,4,127,768
Luis Scola,PF,34,IND,81,16,1659,300,642,0.467,0.699,526,105,47,18,192,763
Mike Scott,PF,26,ATL,68,0,1123,201,453,0.444,0.792,199,75,25,3,83,529
